,file,start_line,end_line,rule_id,severity,description,link,passed,Unnamed: 0,"3-20: Unsupported block type; Blocks of type ""root_block_device"" are not expected here.", and 1 other diagnostic(s),"1-20: Unsupported block type; Blocks of type ""public_access_block"" are not expected here.","1-11: Unsupported argument; An argument named ""encryption"" is not expected here."
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/abbruch1/prompt_4_final_1.tf,14,21,aws-ec2-enable-at-rest-encryption,HIGH,Root block device is not encrypted.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enable-at-rest-encryption/,False,,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/abbruch1/prompt_4_final_1.tf,14,21,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,False,,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch6/prompt_4_final_2.tf,12,14,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,false,,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch6/prompt_4_final_2.tf,start_line,end_line,rule_id,severity,description,link,passed,,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch1/prompt_4_final_4.tf,10,22,aws-ec2-enable-at-rest-encryption,HIGH,Root block device is not encrypted.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enable-at-rest-encryption/,False,prompt_4_final_4.tf,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch1/prompt_4_final_4.tf,10,22,aws-ec2-enable-at-rest-encryption,HIGH,EBS block device is not encrypted.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enable-at-rest-encryption/,False,prompt_4_final_4.tf,,,,
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch1/prompt_4_final_4.tf,19,21,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,False,prompt_4_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch9/prompt_4_final_4.tf,12,14,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,false,,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch9/prompt_4_final_4.tf,start_line,end_line,rule_id,severity,description,link,passed,,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch2/prompt_4_final_2.tf,12,14,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,false,,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch2/prompt_4_final_2.tf,start_line,end_line,rule_id,severity,description,link,passed,,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch4/prompt_4_final_4.tf,13,15,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,False,prompt_4_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt4/versuch3/prompt_4_final_4.tf,8,10,aws-ec2-enforce-http-token-imds,HIGH,Instance does not require IMDS access to require a token,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/ec2/enforce-http-token-imds/,False,prompt_4_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-block-public-acls,HIGH,No public access block so not blocking public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-acls/,False,prompt_3_final_4.tf,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-block-public-acls,HIGH,No public access block so not blocking public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-acls/,False,prompt_3_final_4.tf,,,,
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-block-public-policy,HIGH,No public access block so not blocking public policies,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-policy/,False,prompt_3_final_4.tf,,,,
3,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-block-public-policy,HIGH,No public access block so not blocking public policies,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-policy/,False,prompt_3_final_4.tf,,,,
4,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-enable-bucket-encryption,HIGH,Bucket does not have encryption enabled,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/enable-bucket-encryption/,False,prompt_3_final_4.tf,,,,
5,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-enable-bucket-logging,MEDIUM,Bucket does not have logging enabled,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/enable-bucket-logging/,False,prompt_3_final_4.tf,,,,
6,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-enable-versioning,MEDIUM,Bucket does not have versioning enabled,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/enable-versioning/,False,prompt_3_final_4.tf,,,,
7,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-enable-versioning,MEDIUM,Bucket does not have versioning enabled,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/enable-versioning/,False,prompt_3_final_4.tf,,,,
8,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-encryption-customer-key,HIGH,Bucket does not encrypt data with a customer managed key.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/encryption-customer-key/,False,prompt_3_final_4.tf,,,,
9,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-encryption-customer-key,HIGH,Bucket does not encrypt data with a customer managed key.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/encryption-customer-key/,False,prompt_3_final_4.tf,,,,
10,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-ignore-public-acls,HIGH,No public access block so not ignoring public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/ignore-public-acls/,False,prompt_3_final_4.tf,,,,
11,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-ignore-public-acls,HIGH,No public access block so not ignoring public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/ignore-public-acls/,False,prompt_3_final_4.tf,,,,
12,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-no-public-buckets,HIGH,No public access block so not restricting public buckets,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/no-public-buckets/,False,prompt_3_final_4.tf,,,,
13,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-no-public-buckets,HIGH,No public access block so not restricting public buckets,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/no-public-buckets/,False,prompt_3_final_4.tf,,,,
14,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,24,32,aws-s3-specify-public-access-block,LOW,Bucket does not have a corresponding public access block.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/specify-public-access-block/,False,prompt_3_final_4.tf,,,,
15,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch6/prompt_3_final_4.tf,1,22,aws-s3-specify-public-access-block,LOW,Bucket does not have a corresponding public access block.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/specify-public-access-block/,False,prompt_3_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch1/prompt_3_final_4.tf,5,32,aws-s3-block-public-acls,HIGH,No public access block so not blocking public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-acls/,False,prompt_3_final_4.tf,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch1/prompt_3_final_4.tf,5,32,aws-s3-block-public-policy,HIGH,No public access block so not blocking public policies,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-policy/,False,prompt_3_final_4.tf,,,,
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch1/prompt_3_final_4.tf,5,32,aws-s3-ignore-public-acls,HIGH,No public access block so not ignoring public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/ignore-public-acls/,False,prompt_3_final_4.tf,,,,
3,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch1/prompt_3_final_4.tf,5,32,aws-s3-no-public-buckets,HIGH,No public access block so not restricting public buckets,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/no-public-buckets/,False,prompt_3_final_4.tf,,,,
4,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch1/prompt_3_final_4.tf,5,32,aws-s3-specify-public-access-block,LOW,Bucket does not have a corresponding public access block.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/specify-public-access-block/,False,prompt_3_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-block-public-acls,HIGH,No public access block so not blocking public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-acls/,False,prompt_3_final_4.tf,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-block-public-policy,HIGH,No public access block so not blocking public policies,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-policy/,False,prompt_3_final_4.tf,,,,
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-encryption-customer-key,HIGH,Bucket does not encrypt data with a customer managed key.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/encryption-customer-key/,False,prompt_3_final_4.tf,,,,
3,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-ignore-public-acls,HIGH,No public access block so not ignoring public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/ignore-public-acls/,False,prompt_3_final_4.tf,,,,
4,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-no-public-buckets,HIGH,No public access block so not restricting public buckets,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/no-public-buckets/,False,prompt_3_final_4.tf,,,,
5,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch7/prompt_3_final_4.tf,9,35,aws-s3-specify-public-access-block,LOW,Bucket does not have a corresponding public access block.,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/specify-public-access-block/,False,prompt_3_final_4.tf,,,,
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch10/prompt_3_final_4.tf,1,25,aws-s3-block-public-acls,HIGH,No public access block so not blocking public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-acls/,False,prompt_3_final_4.tf,,,,
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch10/prompt_3_final_4.tf,1,25,aws-s3-block-public-policy,HIGH,No public access block so not blocking public policies,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/block-public-policy/,False,prompt_3_final_4.tf,,,,
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch10/prompt_3_final_4.tf,1,25,aws-s3-ignore-public-acls,HIGH,No public access block so not ignoring public acls,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/ignore-public-acls/,False,prompt_3_final_4.tf,,,,
3,/Users/eliasberger/Documents/Programming/terraform-security-fixer/data/prompts_new_format/prompt3/versuch10/prompt_3_final_4.tf,1,25,aws-s3-no-public-buckets,HIGH,No public access block so not restricting public buckets,https://aquasecurity.github.io/tfsec/v1.28.1/checks/aws/s3/no-public-buckets/,False,prompt_3_final_4.tf,,,,
